east,north,elev_m,serial,name,type,disposition,acres,status
237690.65,4662340.54,2009.8,ID103275795,TC #28,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103519862,TC #29,L,Closed,,CLOSED
237689.63,4661955.82,2051.4,ID103377036,TC #30,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103070468,TC #31,L,Closed,,CLOSED
237689.63,4661955.82,2051.4,ID103298104,TC #32,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103405766,TC #33,L,Closed,,CLOSED
237689.63,4661955.82,2051.4,ID103286363,TC #34,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103289904,TC #35,L,Closed,,CLOSED
237689.63,4661955.82,2051.4,ID103410399,TC #36,L,Closed,,CLOSED
236855.42,4661181.73,1903.9,ID103305760,TC #37,L,Closed,,CLOSED
237573.72,4661243.99,1953.6,ID103444936,TC #38,L,Closed,,CLOSED
236855.42,4661181.73,1903.9,ID102912965,TC #39,L,Closed,,CLOSED
237573.72,4661243.99,1953.6,ID103299574,TC #40,L,Closed,,CLOSED
236350.08,4661275.06,1982.0,ID103453073,TC #41,L,Closed,,CLOSED
236855.42,4661181.73,1903.9,ID103230538,TC #42,L,Closed,,CLOSED
236855.42,4661181.73,1903.9,ID103227003,TC #43,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103524186,TC #45,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103402555,TC #46,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID103247212,TC #47,L,Closed,,CLOSED
236798.46,4662033.43,1894.9,ID102918706,TC #48,L,Closed,,CLOSED
236826.34,4662403.81,1914.2,ID103466234,TC #49,L,Closed,,CLOSED
236828.36,4662836.31,1929.0,ID103486863,TC #50,L,Closed,,CLOSED
236470.61,4662818.50,2013.4,ID103469759,TC #51,L,Closed,,CLOSED
236470.61,4662818.50,2013.4,ID103457598,TC #52,L,Closed,,CLOSED
236439.38,4663624.78,1935.2,ID103454302,TC #53,L,Closed,,CLOSED
236439.38,4663624.78,1935.2,ID103380118,TC #54,L,Closed,,CLOSED
236439.38,4663624.78,1935.2,ID103329373,TC #55,L,Closed,,CLOSED
236439.38,4663624.78,1935.2,ID103522411,TC #56,L,Closed,,CLOSED
236439.38,4663624.78,1935.2,ID103117375,TC #57,L,Closed,,CLOSED
236469.34,4664427.65,2222.5,ID103410064,TC #58,L,Closed,,CLOSED
236469.34,4664427.65,2222.5,ID103503780,TC #59,L,Closed,,CLOSED
236469.34,4664427.65,2222.5,ID103225491,TC #60,L,Closed,,CLOSED
236469.34,4664427.65,2222.5,ID103466641,TC #61,L,Closed,,CLOSED
236498.60,4664812.44,2270.5,ID103140668,TC #62,L,Closed,,CLOSED
236473.18,4661643.00,1939.3,ID103020400,TC #63,L,Closed,,CLOSED
236377.79,4662017.97,1919.0,ID103477050,TC #64,L,Closed,,CLOSED
236377.79,4662017.97,1919.0,ID103277320,TC #65,L,Closed,,CLOSED
235992.48,4662017.90,1979.7,ID102919185,TC #66,L,Closed,,CLOSED
236020.90,4662401.60,2011.5,ID103323872,TC #67,L,Closed,,CLOSED
236112.70,4662818.52,2078.8,ID103452032,TC #68,L,Closed,,CLOSED
236112.70,4662818.52,2078.8,ID103224413,TC #69,L,Closed,,CLOSED
236112.70,4662818.52,2078.8,ID103360990,TC #70,L,Closed,,CLOSED
236113.81,4663203.24,2153.2,ID103016237,TC #71,L,Closed,,CLOSED
236054.16,4663624.70,2104.7,ID103404775,TC #72,L,Closed,,CLOSED
236350.08,4661275.06,1982.0,ID103294070,TC #73,L,Closed,,CLOSED
237365.33,4665200.49,2164.4,ID103308859,TC #75,L,Closed,,CLOSED
237723.82,4665219.41,2095.2,ID103450795,TC #76,L,Closed,,CLOSED
237365.33,4665200.49,2164.4,ID103366637,TC #77,L,Closed,,CLOSED
237365.33,4665200.49,2164.4,ID103466213,TC #79,L,Closed,,CLOSED
237723.82,4665219.41,2095.2,ID102921033,TC #80,L,Closed,,CLOSED
237365.33,4665200.49,2164.4,ID103289716,TC #81,L,Closed,,CLOSED
237751.66,4665589.79,2055.0,ID101687595,TC #82,L,Closed,,CLOSED
237751.66,4665589.79,2055.0,ID103142022,TC #85,L,Closed,,CLOSED
237272.56,4664398.84,2057.1,ID103486101,TC #86,L,Closed,,CLOSED
237842.13,4665974.53,2168.2,ID103377849,TC #87,L,Closed,,CLOSED
237751.66,4665589.79,2055.0,ID103473322,TC #88,L,Closed,,CLOSED
237842.13,4665974.53,2168.2,ID103468308,TC #89,L,Closed,,CLOSED
238034.59,4665492.55,2094.4,ID103484240,TC #90,L,Closed,,CLOSED
